GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu","Przyznana kwota","Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1EK,A+,Wydział Nauk Ekonomicznych,Uniwersytet Warszawski,32,18,56%,3 591 970 zł,"85,5",42 011 zł
HS1EK,B,Wydział Gospodarki Międzynarodowej,Uniwersytet Ekonomiczny w Poznaniu,23,10,43%,2 063 867 zł,50,41 277 zł
HS1EK,A+,Kolegium Analiz Ekonomicznych,Szkoła Główna Handlowa w Warszawie,15,7,47%,4 345 249 zł,"114,5",37 950 zł
HS1EK,A,Wydział Informatyki i Gospodarki Elektronicznej,Uniwersytet Ekonomiczny w Poznaniu,12,5,42%,969 180 zł,44,22 027 zł
HS1EK,A,Wydział Ekonomiczno-Socjologiczny,Uniwersytet Łódzki,52,12,23%,4 476 965 zł,"354,08",12 644 zł
HS1EK,A,Wydział Towaroznawstwa,Uniwersytet Ekonomiczny w Poznaniu,15,2,13%,852 930 zł,74,11 526 zł
HS1EK,B,Wydział Ekonomiczny,Uniwersytet Marii Curie-Skłodowskiej,13,3,23%,1 174 528 zł,104,11 294 zł
HS1EK,A,Kolegium Ekonomiczno-Społeczne,Szkoła Główna Handlowa w Warszawie,12,4,33%,781 730 zł,74,10 564 zł
HS1EK,A,Wydział Ekonomii,Uniwersytet Ekonomiczny w Katowicach,13,5,38%,1 070 092 zł,109,9 817 zł
HS1EK,A,Kolegium Gospodarki Światowej,Szkoła Główna Handlowa w Warszawie,12,3,25%,750 886 zł,"85,3",8 803 zł
HS1EK,A,"Wydział Ekonomii, Zarządzania i Turystyki",Uniwersytet Ekonomiczny we Wrocławiu,8,4,50%,763 835 zł,91,8 394 zł
HS1EK,A+,Kolegium Zarządzania i Finansów,Szkoła Główna Handlowa w Warszawie,15,4,27%,1 015 000 zł,131,7 748 zł
