GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,Współczynnik sukcesu,Przyznana kwota,Pracownicy naukowi,"Kwota/pracownicy naukowi"
HS1EK,A+,Wydział Nauk Ekonomicznych,Uniwersytet Warszawski,31,15,48%,3 220 559 zł,"85,5",37 667 zł
HS1EK,A,"Wydział Informatyki i Gospodarki Elektronicznej",Uniwersytet Ekonomiczny w Poznaniu,18,4,22%,1 084 776 zł,44,24 654 zł
HS1EK,A,Wydział Zarządzania,Uniwersytet Ekonomiczny w Poznaniu,45,9,20%,2 380 339 zł,115,20 699 zł
HS1EK,A,Wydział Zarządzania,Uniwersytet Ekonomiczny w Katowicach,15,7,47%,2 152 028 zł,110,19 564 zł
HS1EK,A,Kolegium Gospodarki Światowej,Szkoła Główna Handlowa w Warszawie,24,5,21%,1 567 585 zł,"85,3",18 377 zł
HS1EK,A,Wydział Ekonomii,Uniwersytet Ekonomiczny w Poznaniu,38,11,29%,1 506 605 zł,104,14 487 zł
HS1EK,A+,Kolegium Analiz Ekonomicznych,Szkoła Główna Handlowa w Warszawie,12,6,50%,1 455 460 zł,"114,5",12 711 zł
HS1EK,B,Wydział Gospodarki Międzynarodowej,Uniwersytet Ekonomiczny w Poznaniu,31,4,13%,592 738 zł,50,11 855 zł
HS1EK,A,"",Akademia Leona Koźmińskiego,45,7,16%,1 387 900 zł,"152,5",9 101 zł
HS1EK,B,Wydział Organizacji i Zarządzania,Politechnika Łódzka,16,3,19%,636 865 zł,79,8 062 zł
HS1EK,B,Wydział Ekonomiczny,Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie,2,1,50%,219 180 zł,31,7 070 zł
HS1EK,A,"Wydział Ekonomii i Stosunków Międzynarodowych",Uniwersytet Ekonomiczny w Krakowie,34,8,24%,1 132 929 zł,168,6 744 zł
HS1EK,B,Wydział Zarządzania i Ekonomii,Politechnika Gdańska,6,2,33%,478 420 zł,87,5 499 zł
HS1EK,A,Wydział Finansów,Uniwersytet Ekonomiczny w Krakowie,12,4,33%,683 723 zł,129,5 300 zł
HS1EK,A,Wydział Towaroznawstwa,Uniwersytet Ekonomiczny w Poznaniu,17,1,6%,376 350 zł,74,5 086 zł
HS1EK,B,Wydział Ekonomiczny,Uniwersytet Marii Curie-Skłodowskiej,23,3,13%,509 683 zł,104,4 901 zł
HS1EK,A,"Wydział Zarządzania, Informatyki i Finansów",Uniwersytet Ekonomiczny we Wrocławiu,45,4,9%,951 800 zł,202,4 712 zł
HS1EK,A,Wydział Ekonomiczno-Socjologiczny,Uniwersytet Łódzki,58,9,16%,1 643 660 zł,"354,08",4 642 zł
HS1EK,A+,Kolegium Zarządzania i Finansów,Szkoła Główna Handlowa w Warszawie,17,2,12%,517 403 zł,131,3 950 zł
HS1EK,A,Kolegium Ekonomiczno-Społeczne,Szkoła Główna Handlowa w Warszawie,11,1,9%,287 950 zł,74,3 891 zł
HS1EK,B,Wydział Nauk Ekonomicznych i Zarządzania,Uniwersytet Mikołaja Kopernika w Toruniu,17,2,12%,348 530 zł,92,3 788 zł
HS1EK,A,Kolegium Nauk o Przedsiębiorstwie,Szkoła Główna Handlowa w Warszawie,12,2,17%,294 100 zł,90,3 268 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomiczno-Społeczny,Uniwersytet Przyrodniczy w Poznaniu,13,3,23%,238 880 zł,81,2 949 zł,MNiSW 2014
HS1EK,A,Wydział Towaroznawstwa,Uniwersytet Ekonomiczny w Krakowie,8,1,13%,171 900 zł,59,2 914 zł,MNiSW 2014
HS1EK,A,Wydział Nauk Ekonomicznych,Uniwersytet Ekonomiczny we Wrocławiu,35,3,9%,470 216 zł,169,2 782 zł,MNiSW 2014
HS1EK,A,Wydział Zarządzania,Uniwersytet Ekonomiczny w Krakowie,23,4,17%,433 620 zł,158,2 744 zł,MNiSW 2014
HS1EK,A,Wydział Zarządzania,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",10,1,10%,299 000 zł,121,2 471 zł,MNiSW 2014
HS1EK,B,Wydział Informatyki i Komunikacji,Uniwersytet Ekonomiczny w Katowicach,8,1,13%,157 500 zł,66,2 386 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomii i Zarządzania,Uniwersytet w Białymstoku,11,2,18%,155 340 zł,77,2 017 zł,MNiSW 2014
HS1EK,B,Wydział Zarządzania,Politechnika Białostocka,12,1,8%,197 330 zł,116,1 701 zł,MNiSW 2014
HS1EK,B,Wydział Nauk Ekonomicznych,Uniwersytet Warmińsko-Mazurski w Olsztynie,4,1,25%,172 610 zł,111,1 555 zł,MNiSW 2014
HS1EK,A,Wydział Inżynieryjno-Ekonomiczny,Uniwersytet Ekonomiczny we Wrocławiu,13,2,15%,163 078 zł,109,1 496 zł,MNiSW 2014
HS1EK,A,Wydział Zarządzania,Uniwersytet Warszawski,13,1,8%,67 782 zł,46,1 474 zł,MNiSW 2014
HS1EK,B,Wydział Finansów i Zarządzania,Wyższa Szkoła Bankowa we Wrocławiu,12,1,8%,75 760 zł,135,561 zł,MNiSW 2014
HS1EK,B,Wydział Zarządzania,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",1,0,0%,0 zł,39,0 zł,MNiSW 2014
HS1EK,B,Wydział Nauk Ekonomicznych i Prawnych,"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach",1,0,0%,0 zł,50,0 zł,MNiSW 2014
HS1EK,B,"",Wyższa Szkoła Bankowa w Gdańsku,2,0,0%,0 zł,62,0 zł,MNiSW 2014
HS1EK,A,Wydział Zastosowań Informatyki i Matematyki,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",2,0,0%,0 zł,74,0 zł,MNiSW 2014
HS1EK,B,Wydział Nauk Społecznych i Informatyki,Wyższa Szkoła Biznesu - National Louis University,2,0,0%,0 zł,48,0 zł,MNiSW 2014
HS1EK,B,Wydział Finansów i Bankowości,Wyższa Szkoła Bankowa w Poznaniu,2,0,0%,0 zł,85,0 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomii i Zarządzania,Uczelnia Łazarskiego,2,0,0%,0 zł,40,0 zł,MNiSW 2014
HS1EK,B,"","Wyższa Szkoła Gospodarki Euroregionalnej im. Alcide De Gasperi w Józefowie",2,0,0%,0 zł,52,0 zł,POLON 2014
HS1EK,B,Wydział Turystyki i Rekreacji,Szkoła Główna Turystyki i Rekreacji,2,0,0%,0 zł,19,0 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomiczno-Informatyczny w Wilnie,Uniwersytet w Białymstoku,2,0,0%,0 zł,"15,33",0 zł,MNiSW 2014
