GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu",Przyznana kwota,"Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1EK,A+,Wydział Nauk Ekonomicznych,Uniwersytet Warszawski,35,14,40%,1 906 108 zł,"81,33","23 436,71 zł"
HS1EK,B,Wydział Organizacji i Zarządzania,Politechnika Łódzka,14,5,36%,1 062 603 zł,72,"14 758,38 zł"
HS1EK,A,Kolegium Gospodarki Światowej,Szkoła Główna Handlowa w Warszawie,17,3,18%,964 783 zł,"84,5","11 417,55 zł"
HS1EK,A+,Kolegium Analiz Ekonomicznych,Szkoła Główna Handlowa w Warszawie,19,5,26%,862 440 zł,"110,5","7 804,89 zł"
HS1EK,A,Wydział Informatyki i Gospodarki Elektronicznej,Uniwersytet Ekonomiczny w Poznaniu,13,3,23%,388 724 zł,54,"7 198,59 zł"
HS1EK,B,Wydział Gospodarki Międzynarodowej,Uniwersytet Ekonomiczny w Poznaniu,21,3,14%,402 150 zł,62,"6 486,29 zł"
HS1EK,A,Wydział Ekonomii,Uniwersytet Ekonomiczny w Poznaniu,25,4,16%,532 106 zł,97,"5 485,63 zł"
HS1EK,A,Wydział Ekonomiczno-Socjologiczny,Uniwersytet Łódzki,68,10,15%,1 735 584 zł,"362,5","4 787,82 zł"
HS1EK,A,Wydział Nauk Ekonomicznych i Zarządzania,Uniwersytet Szczeciński,17,3,18%,728 006 zł,"168,88","4 310,79 zł"
HS1EK,A,Wydział Nauk Ekonomicznych,Uniwersytet Ekonomiczny we Wrocławiu,22,2,9%,640 740 zł,"162,71","3 937,93 zł"
HS1EK,A,"Wydział Ekonomii, Zarządzania i Turystyki",Uniwersytet Ekonomiczny we Wrocławiu,5,1,20%,339 680 zł,"88,67","3 830,83 zł"
HS1EK,A,Kolegium Ekonomiczno-Społeczne,Szkoła Główna Handlowa w Warszawie,10,2,20%,350 633 zł,94,"3 730,14 zł"
HS1EK,A,Wydział Zarządzania,Uniwersytet Ekonomiczny w Poznaniu,26,4,15%,433 593 zł,126,"3 441,21 zł"
HS1EK,A,Wydział Finansów,Uniwersytet Ekonomiczny w Krakowie,3,1,33%,443 700 zł,133,"3 336,09 zł"
HS1EK,A,Wydział Zarządzania,Uniwersytet Ekonomiczny w Katowicach,4,1,25%,335 760 zł,"110,5","3 038,55 zł"
HS1EK,A,Wydział Ekonomii i Stosunków Międzynarodowych,Uniwersytet Ekonomiczny w Krakowie,23,3,13%,472 182 zł,171,"2 761,30 zł"
HS1EK,B,Wydział Informatyki i Komunikacji,Uniwersytet Ekonomiczny w Katowicach,11,1,9%,176 916 zł,"67,5","2 620,98 zł"
HS1EK,A,Kolegium Nauk o Przedsiębiorstwie,Szkoła Główna Handlowa w Warszawie,12,1,8%,216 060 zł,89,"2 427,64 zł"
HS1EK,A,Wydział Zarządzania,Uniwersytet Łódzki,14,1,7%,278 200 zł,"115,5","2 408,66 zł"
HS1EK,B,Wydział Ekonomiczno-Społeczny,Uniwersytet Przyrodniczy w Poznaniu,15,1,7%,164 840 zł,80,"2 060,50 zł"
HS1EK,A,Wydział Zarządzania,Uniwersytet Ekonomiczny w Krakowie,23,1,4%,298 200 zł,"154,5","1 930,10 zł"
HS1EK,A,Wydział Zarządzania,Społeczna Akademia Nauk,3,1,33%,153 920 zł,102,"1 509,02 zł"
HS1EK,A,Wydział Zarządzania,Uniwersytet Warszawski,12,1,8%,102 372 zł,"77,5","1 320,93 zł"
HS1EK,B,Wydział Ekonomii i Zarządzania,Uniwersytet w Białymstoku,6,1,17%,97 442 zł,75,"1 299,23 zł"
HS1EK,A,"Wydział Zarządzania, Informatyki i Finansów",Uniwersytet Ekonomiczny we Wrocławiu,22,1,5%,186 720 zł,180,"1 037,33 zł"
HS1EK,B,Wydział Ekonomiczny,Uniwersytet Gdański,6,1,17%,118 456 zł,123,"963,06 zł"
HS1EK,B,Wydział Nauk Ekonomicznych,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,13,1,8%,93 132 zł,116,"802,86 zł"
HS1EK,B,Wydział Ekonomiczny,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,13,1,8%,46 000 zł,104,"442,31 zł"
HS1EK,B,"",Wyższa Szkoła Bankowa w Gdańsku,3,0,0%,0 zł,131,"0,00 zł"
HS1EK,B,"",Wyższa Szkoła Bankowa w Toruniu,1,0,0%,0 zł,133,"0,00 zł"
HS1EK,B,"",Wyższa Szkoła Gospodarki Euroregionalnej im. Alcide De Gasperi w Józefowie,2,0,0%,0 zł,73,"0,00 zł"
HS1EK,A+,Kolegium Zarządzania i Finansów,Szkoła Główna Handlowa w Warszawie,14,0,0%,0 zł,"118,25","0,00 zł"
HS1EK,B,Wydział Ekonomiczny,"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu",2,0,0%,0 zł,52,"0,00 zł"
HS1EK,B,Wydział Ekonomiczny,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,2,0,0%,0 zł,59,"0,00 zł"
HS1EK,B,Wydział Ekonomii i Zarządzania,Politechnika Opolska,4,0,0%,0 zł,53,"0,00 zł"
HS1EK,B,Wydział Ekonomii i Zarządzania,Uczelnia Łazarskiego,4,0,0%,0 zł,32,"0,00 zł"
HS1EK,B,Wydział Ekonomii i Zarządzania,Uniwersytet Zielonogórski,9,0,0%,0 zł,75,"0,00 zł"
HS1EK,A,Wydział Ekonomii,Uniwersytet Ekonomiczny w Katowicach,9,0,0%,0 zł,108,"0,00 zł"
HS1EK,B,Wydział Ekonomii,Uniwersytet Rzeszowski,2,0,0%,0 zł,42,"0,00 zł"
HS1EK,B,Wydział Finansów i Ubezpieczeń,Uniwersytet Ekonomiczny w Katowicach,17,0,0%,0 zł,"94,83","0,00 zł"
HS1EK,B,Wydział Inżynierii Zarządzania,Politechnika Poznańska,4,0,0%,0 zł,97,"0,00 zł"
HS1EK,A,Wydział Inżynieryjno-Ekonomiczny,Uniwersytet Ekonomiczny we Wrocławiu,13,0,0%,0 zł,99,"0,00 zł"
HS1EK,B,Wydział Nauk Ekonomicznych i Prawnych,Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach,1,0,0%,0 zł,52,"0,00 zł"
HS1EK,B,Wydział Nauk Ekonomicznych,Politechnika Koszalińska,4,0,0%,0 zł,46,"0,00 zł"
HS1EK,B,Wydział Nauk Ekonomicznych,Uniwersytet Warmińsko-Mazurski w Olsztynie,9,0,0%,0 zł,110,"0,00 zł"
HS1EK,B,Wydział Przedsiębiorczości i Towaroznawstwa,Akademia Morska w Gdyni,7,0,0%,0 zł,77,"0,00 zł"
HS1EK,A,Wydział Towaroznawstwa,Uniwersytet Ekonomiczny w Krakowie,3,0,0%,0 zł,64,"0,00 zł"
HS1EK,A,Wydział Towaroznawstwa,Uniwersytet Ekonomiczny w Poznaniu,9,0,0%,0 zł,70,"0,00 zł"
HS1EK,B,Wydział Turystyki i Rekreacji,Szkoła Główna Turystyki i Rekreacji,1,0,0%,0 zł,19,"0,00 zł"
HS1EK,B,Wydział Zarządzania i Ekonomii,Politechnika Gdańska,12,0,0%,0 zł,79,"0,00 zł"
HS1EK,B,Wydział Zarządzania i Ekonomiki Usług,Uniwersytet Szczeciński,19,0,0%,0 zł,"135,5","0,00 zł"
HS1EK,A,Wydział Zarządzania i Finansów,Wyższa Szkoła Finansów i Zarządzania w Warszawie,5,0,0%,0 zł,31,"0,00 zł"
HS1EK,A,Wydział Zarządzania,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,6,0,0%,0 zł,114,"0,00 zł"
HS1EK,B,Wydział Zarządzania,Politechnika Białostocka,7,0,0%,0 zł,"105,5","0,00 zł"
HS1EK,B,Wydział Zarządzania,Politechnika Częstochowska,7,0,0%,0 zł,224,"0,00 zł"
HS1EK,B,Wydział Zarządzania,Politechnika Lubelska,4,0,0%,0 zł,58,"0,00 zł"
HS1EK,B,Wydział Zarządzania,Politechnika Rzeszowska im. Ignacego Łukasiewicza,4,0,0%,0 zł,130,"0,00 zł"
HS1EK,B,Wydział Zarządzania,Politechnika Warszawska,8,0,0%,0 zł,"57,25","0,00 zł"
HS1EK,B,Wydział Zarządzania,Uniwersytet Gdański,11,0,0%,0 zł,125,"0,00 zł"
HS1EK,B,Wydział Zarządzania,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",1,0,0%,0 zł,35,"0,00 zł"
HS1EK,A,Wydział Zastosowań Informatyki i Matematyki,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,6,0,0%,0 zł,"68,5","0,00 zł"
HS1EK,B,Wydział Nauk Ekonomicznych i Zarządzania,Uniwersytet Mikołaja Kopernika w Toruniu,17,2,12%,252 580 zł,BRAK DANYCH,BRAK DANYCH
HS1EK,A,"Wydział Zarządzania, Informatyki i Nauk Społecznych",Wyższa Szkoła Biznesu w Dąbrowie Górniczej,2,1,50%,164 460 zł,BRAK DANYCH,BRAK DANYCH
HS1EK,B,Wydział Ekonomiczny,Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1FB,A,"Wydział ""Artes Liberales""",Uniwersytet Warszawski,14,2,14%,670 930 zł,"49,77","13 480,61 zł"
HS1FB,A,Wydział Anglistyki,Uniwersytet im. Adama Mickiewicza w Poznaniu,35,6,17%,1 132 724 zł,90,"12 585,82 zł"
HS1FB,A,Wydział Polonistyki,Uniwersytet Warszawski,31,6,19%,1 392 344 zł,"172,75","8 059,88 zł"
HS1FB,A,Wydział Lingwistyki Stosowanej,Uniwersytet Warszawski,21,2,10%,535 871 zł,103,"5 202,63 zł"
HS1FB,A+,Wydział Filologii Polskiej i Klasycznej,Uniwersytet im. Adama Mickiewicza w Poznaniu,28,5,18%,1 012 413 zł,"214,5","4 719,87 zł"
HS1FB,A+,Wydział Polonistyki,Uniwersytet Jagielloński,42,4,10%,694 964 zł,"149,2","4 657,94 zł"
HS1FB,A,Wydział Filologiczny,Uniwersytet Wrocławski,23,4,17%,1 559 852 zł,"341,5","4 567,65 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie,13,1,8%,720 840 zł,176,"4 095,68 zł"
HS1FB,B,Wydział Nauk Humanistycznych,Katolicki Uniwersytet Lubelski Jana Pawła II,17,1,6%,531 270 zł,236,"2 251,14 zł"
HS1FB,B,Wydział Nauk Humanistycznych,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,8,1,13%,128 592 zł,63,"2 041,14 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet Gdański,10,1,10%,461 000 zł,231,"1 995,67 zł"
HS1FB,B,Wydział Neofilologii,Uniwersytet Warszawski,20,1,5%,312 700 zł,"164,75","1 898,03 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet Jagielloński,29,3,10%,454 361 zł,242,"1 877,52 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet Szczeciński,11,1,9%,119 340 zł,"110,5","1 080,00 zł"
HS1FB,B,Wydział Humanistyczny,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,31,2,6%,299 880 zł,327,"917,06 zł"
HS1FB,A,Wydział Filologiczny,Uniwersytet Śląski w Katowicach,22,2,9%,296 085 zł,383,"773,07 zł"
HS1FB,B,Instytut Anglistyki,Społeczna Akademia Nauk,1,0,0%,0 zł,52,"0,00 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet Łódzki,21,0,0%,0 zł,"298,33","0,00 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet Opolski,3,0,0%,0 zł,107,"0,00 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet Rzeszowski,5,0,0%,0 zł,92,"0,00 zł"
HS1FB,B,Wydział Filologiczny,Uniwersytet w Białymstoku,8,0,0%,0 zł,99,"0,00 zł"
HS1FB,B,Wydział Humanistyczno-Społeczny,Akademia Techniczno-Humanistyczna  w Bielsku-Białej,1,0,0%,0 zł,67,"0,00 zł"
HS1FB,B,Wydział Humanistyczny,Uniwersytet Warmińsko-Mazurski w Olsztynie,5,0,0%,0 zł,168,"0,00 zł"
HS1FB,B,Wydział Neofilologii,Uniwersytet im. Adama Mickiewicza w Poznaniu,20,0,0%,0 zł,259,"0,00 zł"
HS1FB,A,Wydział Orientalistyczny,Uniwersytet Warszawski,16,0,0%,0 zł,69,"0,00 zł"
HS1FB,A,Wydział Filologiczny,Uniwersytet Mikołaja Kopernika w Toruniu,15,1,7%,110 137 zł,BRAK DANYCH,BRAK DANYCH
