"GWO","kategoria","wydzial","jednostka.gl","zlozone","pozyskane","procent.sukcesu","kwota.calk","liczba.pracownikow","kwota.na.pracownika","dziedzina"
"HS1EK","A+","Wydział Nauk Ekonomicznych","Uniwersytet Warszawski",32,18,0.5625,3591970,85.5,42011.3450292398,"HS"
"HS1EK","B","Wydział Gospodarki Międzynarodowej","Uniwersytet Ekonomiczny w Poznaniu",23,10,0.434782608695652,2063867,50,41277.34,"HS"
"HS1EK","A+","Kolegium Analiz Ekonomicznych","Szkoła Główna Handlowa w Warszawie",15,7,0.466666666666667,4345249,114.5,37949.7729257642,"HS"
"HS1EK","A","Wydział Informatyki i Gospodarki Elektronicznej","Uniwersytet Ekonomiczny w Poznaniu",12,5,0.416666666666667,969180,44,22026.8181818182,"HS"
"HS1EK","A","Wydział Ekonomiczno-Socjologiczny","Uniwersytet Łódzki",52,12,0.230769230769231,4476965,354.08,12643.936398554,"HS"
"HS1EK","A","Wydział Towaroznawstwa","Uniwersytet Ekonomiczny w Poznaniu",15,2,0.133333333333333,852930,74,11526.0810810811,"HS"
"HS1EK","B","Wydział Ekonomiczny","Uniwersytet Marii Curie-Skłodowskiej",13,3,0.230769230769231,1174528,104,11293.5384615385,"HS"
"HS1EK","A","Kolegium Ekonomiczno-Społeczne","Szkoła Główna Handlowa w Warszawie",12,4,0.333333333333333,781730,74,10563.9189189189,"HS"
"HS1EK","A","Wydział Ekonomii","Uniwersytet Ekonomiczny w Katowicach",13,5,0.384615384615385,1070092,109,9817.35779816514,"HS"
"HS1EK","A","Kolegium Gospodarki Światowej","Szkoła Główna Handlowa w Warszawie",12,3,0.25,750886,85.3,8802.88393903869,"HS"
"HS1EK","A","Wydział Ekonomii, Zarządzania i Turystyki","Uniwersytet Ekonomiczny we Wrocławiu",8,4,0.5,763835,91,8393.79120879121,"HS"
"HS1EK","A+","Kolegium Zarządzania i Finansów","Szkoła Główna Handlowa w Warszawie",15,4,0.266666666666667,1015000,131,7748.09160305344,"HS"
"HS1EK","A","Wydział Ekonomii i Stosunków Międzynarodowych","Uniwersytet Ekonomiczny w Krakowie",26,7,0.269230769230769,1235177,168,7352.24404761905,"HS"
"HS1EK","A","","Akademia Leona Koźmińskiego",19,8,0.421052631578947,1103932,152.5,7238.89836065574,"HS"
"HS1EK","A","Kolegium Nauk o Przedsiębiorstwie","Szkoła Główna Handlowa w Warszawie",11,1,0.0909090909090909,599787,90,6664.3,"HS"
"HS1EK","B","Wydział Organizacji i Zarządzania","Politechnika Łódzka",20,4,0.2,494484,79,6259.29113924051,"HS"
"HS1EK","B","Wydział Nauk Ekonomicznych i Zarządzania","Uniwersytet Mikołaja Kopernika w Toruniu",17,4,0.235294117647059,558790,92,6073.80434782609,"HS"
"HS1EK","A","Wydział Zarządzania, Informatyki i Finansów","Uniwersytet Ekonomiczny we Wrocławiu",31,6,0.193548387096774,1204852,202,5964.61386138614,"HS"
"HS1EK","A","Wydział Zarządzania","Uniwersytet Ekonomiczny w Poznaniu",26,3,0.115384615384615,646120,115,5618.4347826087,"HS"
"HS1EK","A","Wydział Zarządzania","Uniwersytet Ekonomiczny w Krakowie",14,3,0.214285714285714,879947,158,5569.28481012658,"HS"
"HS1EK","A","Wydział Ekonomii","Uniwersytet Ekonomiczny w Poznaniu",20,6,0.3,553720,104,5324.23076923077,"HS"
"HS1EK","B","Wydział Organizacji i Zarządzania","Politechnika Śląska",13,3,0.230769230769231,748625,152,4925.16447368421,"HS"
"HS1EK","A","Wydział Zarządzania","Uniwersytet Łódzki",14,3,0.214285714285714,528970,110.5,4787.05882352941,"HS"
"HS1EK","A","Wydział Inżynieryjno-Ekonomiczny","Uniwersytet Ekonomiczny we Wrocławiu",13,4,0.307692307692308,488456,109,4481.24770642202,"HS"
"HS1EK","B","Wydział Zarządzania i Ekonomii","Politechnika Gdańska",19,2,0.105263157894737,385450,87,4430.45977011494,"HS"
"HS1EK","A","Wydział Zarządzania","Akademia Górniczo-Hutnicza im. Stanisława Staszica w 
Krakowie",15,1,0.0666666666666667,482320,121,3986.11570247934,"HS"
"HS1EK","B","Wydział Informatyki i Komunikacji","Uniwersytet Ekonomiczny w Katowicach",11,3,0.272727272727273,242550,66,3675,"HS"
"HS1EK","B","Wydział Ekonomiczno-Społeczny","Uniwersytet Przyrodniczy w Poznaniu",15,3,0.2,275620,81,3402.71604938272,"HS"
"HS1EK","B","","Wyższa Szkoła Bankowa w Gdańsku",4,1,0.25,181322,62,2924.54838709677,"HS"
"HS1EK","A","Wydział Zastosowań Informatyki i Matematyki","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",3,1,0.333333333333333,190057,74,2568.33783783784,"HS"
"HS1EK","A","Wydział Zarządzania","Uniwersytet Ekonomiczny w Katowicach",9,2,0.222222222222222,280932,110,2553.92727272727,"HS"
"HS1EK","B","Wydział Nauk Społecznych i Informatyki","Wyższa Szkoła Biznesu - National Louis University",2,1,0.5,120170,48,2503.54166666667,"HS"
"HS1EK","B","Wydział Zarządzania i Ekonomiki Usług","Uniwersytet Szczeciński",23,3,0.130434782608696,360240,146.83,2453.44956752707,"HS"
"HS1EK","B","Wydział Zarządzania","Uniwersytet Gdański",19,2,0.105263157894737,337499,142,2376.75352112676,"HS"
"HS1EK","B","Wydział Nauk Ekonomicznych","Politechnika Koszalińska",6,1,0.166666666666667,95577,52,1838.01923076923,"HS"
"HS1EK","B","Wydział Zarządzania","Politechnika Częstochowska",2,1,0.5,336400,204,1649.01960784314,"HS"
"HS1EK","B","Wydział Nauk Ekonomicznych","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",6,1,0.166666666666667,171890,121,1420.57851239669,"HS"
"HS1EK","A","Wydział Nauk Ekonomicznych","Uniwersytet Ekonomiczny we Wrocławiu",30,2,0.0666666666666667,224365,169,1327.60355029586,"HS"
"HS1EK","B","Wydział Nauk Ekonomicznych","Uniwersytet Warmińsko-Mazurski w Olsztynie",6,1,0.166666666666667,123890,111,1116.12612612613,"HS"
"HS1EK","B","Wydział Finansów i Ubezpieczeń","Uniwersytet Ekonomiczny w Katowicach",9,1,0.111111111111111,79947,94,850.5,"HS"
"HS1EK","B","Wydział Zarządzania","Politechnika Warszawska",10,1,0.1,47900,56.5,847.787610619469,"HS"
"HS1EK","A","Wydział Nauk Ekonomicznych i Zarządzania","Uniwersytet Szczeciński",14,1,0.0714285714285714,80000,168.5,474.777448071217,"HS"
"HS1EK","B","Wydział Ekonomiczny","Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie",3,0,0,0,31,0,"HS"
"HS1EK","A","Wydział Finansów","Uniwersytet Ekonomiczny w Krakowie",9,0,0,0,129,0,"HS"
"HS1EK","B","Wydział Ekonomii i Zarządzania","Uniwersytet w Białymstoku",3,0,0,0,77,0,"HS"
"HS1EK","B","Wydział Zarządzania","Politechnika Białostocka",11,0,0,0,116,0,"HS"
"HS1EK","A","Wydział Zarządzania","Uniwersytet Warszawski",8,0,0,0,46,0,"HS"
"HS1EK","B","Wydział Finansów i Zarządzania","Wyższa Szkoła Bankowa we Wrocławiu",9,0,0,0,135,0,"HS"
"HS1EK","B","Wydział Ekonomii i Zarządzania","Uniwersytet Zielonogórski",13,0,0,0,68,0,"HS"
"HS1EK","A","Wydział Zarządzania i Finansów","Wyższa Szkoła Finansów i Zarządzania w Warszawie",13,0,0,0,38,0,"HS"
"HS1EK","B","Wydział Inżynierii Zarządzania","Politechnika Poznańska",7,0,0,0,106,0,"HS"
"HS1EK","B","Wydział Ekonomii","Uniwersytet Rzeszowski",5,0,0,0,45,0,"HS"
"HS1EK","B","Wydział Przedsiębiorczości i Towaroznawstwa","Akademia Morska w Gdyni",9,0,0,0,101,0,"HS"
"HS1EK","B","Wydział Ekonomiczny","Uniwersytet Technologiczno-Humanistyczny im. 
Kazimierza Pułaskiego w Radomiu",7,0,0,0,49,0,"HS"
"HS1EK","B","Wydział Ekonomiczny","Uniwersytet Opolski",6,0,0,0,47,0,"HS"
"HS1EK","B","Wydział Zarządzania","Politechnika Rzeszowska im. Ignacego Łukasiewicza",5,0,0,0,126,0,"HS"
"HS1EK","B","Wydział Finansów i Bankowości","Wyższa Szkoła Bankowa w Poznaniu",6,0,0,0,85,0,"HS"
"HS1EK","B","Wydział Ekonomii i Zarządzania","Politechnika Opolska",3,0,0,0,55.5,0,"HS"
"HS1EK","B","","Wyższa Szkoła Bankowa w Toruniu",4,0,0,0,64,0,"HS"
"HS1EK","B","Wydział Zarządzania i Logistyki","Wyższa Szkoła Logistyki w Poznaniu",1,0,0,0,24,0,"HS"
"HS1EK","B","Wydział Zarządzania","Politechnika Lubelska",2,0,0,0,60,0,"HS"
"HS1EK","B","Wydział Zarządzania","Uniwersytet Technologiczno-Przyrodniczy im. Jana i 
Jędrzeja Śniadeckich w Bydgoszczy",5,0,0,0,39,0,"HS"
"HS1EK","B","Wydział Ekonomiczny","Zachodniopomorski Uniwersytet Technologiczny w 
Szczecinie",3,0,0,0,58.5,0,"HS"
"HS1EK","A","Wydział Zarządzania","Społeczna Akademia Nauk",1,0,0,0,131,0,"HS"
"HS1EK","B","Wydział Nauk Ekonomicznych i Prawnych","Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach",4,0,0,0,50,0,"HS"
"HS1EK","A","Wydział Zarządzania, Informatyki i Nauk Społecznych","Wyższa Szkoła Biznesu w Dąbrowie Górniczej",2,0,0,0,62,0,"HS"
"HS1EK","B","Wydział Ekonomii i Zarządzania","Uczelnia Łazarskiego",2,0,0,0,40,0,"HS"
"HS1EK","B","","Wyższa Szkoła Gospodarki Euroregionalnej im. Alcide De 
Gasperi w Józefowie",2,0,0,0,52,0,"HS"
"HS1EK","B","Kolegium Nauk Ekonomicznych i Społecznych","Politechnika Warszawska",1,0,0,0,11,0,"HS"
"HS1EK","B","Instytut Zarządzania Ryzykiem","Akademia Finansów i Biznesu Vistula",7,3,0.428571428571429,861395,NA,NA,"HS"
"HS1EK","B","Wydział Zarządzania i Informatyki","Akademia Techniczno-Humanistyczna w Bielsku-Białej",4,0,0,0,NA,NA,"HS"
"HS1EK","B","","Szkoła Wyższa im. Bogdana Jańskiego",2,0,0,0,NA,NA,"HS"
"HS1EK","B","Wydział Menedżerski","Wyższa Szkoła Menedżerska w Warszawie",1,1,1,302025,NA,NA,"HS"
"HS2EK","A","","Instytut Rozwoju Wsi i Rolnictwa PAN",2,1,0.5,995636,22.35,44547.4720357942,"HS"
"HS2EK","B","","Instytut Nauk Ekonomicznych PAN",1,1,1,182000,26,7000,"HS"
"HS3EK","A","","Instytut Pracy i Spraw Socjalnych",7,4,0.571428571428571,949812,46,20648.0869565217,"HS"
"HS3EK","B","","Instytut Badań Rynku, Konsumpcji i Koniunktur",2,2,1,413600,34.5,11988.4057971014,"HS"
"HS1FB","A","Wydział „Artes Liberales”","Uniwersytet Warszawski",12,5,0.416666666666667,2934246,46.3,63374.6436285097,"HS"
"HS1FB","A","Wydział Anglistyki","Uniwersytet im. Adama Mickiewicza w Poznaniu",27,9,0.333333333333333,2197126,89,24686.808988764,"HS"
"HS1FB","A","Wydział Polonistyki","Uniwersytet Warszawski",44,10,0.227272727272727,2880964,162.1,17772.7575570635,"HS"
"HS1FB","A+","Wydział Polonistyki","Uniwersytet Jagielloński",54,13,0.240740740740741,1499452,145,10341.0482758621,"HS"
"HS1FB","B","Wydział Filologiczny","Uniwersytet Jagielloński",23,9,0.391304347826087,1893757,237.36,7978.41675092686,"HS"
"HS1FB","B","Wydział Neofilologii","Uniwersytet im. Adama Mickiewicza w Poznaniu",31,9,0.290322580645161,1857926,245.5,7567.9266802444,"HS"
"HS1FB","A","Wydział Filologiczny","Uniwersytet Wrocławski",31,3,0.0967741935483871,2103625,313.21,6716.34047444207,"HS"
"HS1FB","A","Wydział Filologiczny","Uniwersytet Śląski w Katowicach",17,5,0.294117647058824,2506440,374.5,6692.76368491322,"HS"
"HS1FB","A+","Wydział Filologii Polskiej i Klasycznej","Uniwersytet im. Adama Mickiewicza w Poznaniu",49,10,0.204081632653061,1404819,217,6473.8202764977,"HS"
"HS1FB","B","Wydział Filologiczny","Uniwersytet Łódzki",22,8,0.363636363636364,1817350,297,6119.02356902357,"HS"
"HS1FB","A","Wydział Orientalistyczny","Uniwersytet Warszawski",10,4,0.4,368933,80,4611.6625,"HS"
"HS1FB","B","Wydział Filologiczny","Uniwersytet w Białymstoku",3,2,0.666666666666667,390563,94.5,4132.9417989418,"HS"
"HS1FB","A","Wydział Lingwistyki Stosowanej","Uniwersytet Warszawski",16,4,0.25,475601,117,4064.96581196581,"HS"
"HS1FB","B","Wydział Humanistyczny","Uniwersytet Marii Curie-Skłodowskiej",13,5,0.384615384615385,1291556,360,3587.65555555556,"HS"
"HS1FB","B","Wydział Nauk Humanistycznych","Uniwersytet Kardynała Stefana Wyszyńskiego w 
Warszawie",7,2,0.285714285714286,185724,65,2857.29230769231,"HS"
"HS1FB","B","Wydział Nauk Humanistycznych","Katolicki Uniwersytet Lubelski Jana Pawła II",18,3,0.166666666666667,459824,258,1782.26356589147,"HS"
"HS1FB","A","Wydział Filologiczny","Uniwersytet Mikołaja Kopernika w Toruniu",6,2,0.333333333333333,219786,129,1703.76744186047,"HS"
