"GWO","kategoria","wydzial","jednostka.gl","zlozone","pozyskane","procent.sukcesu","kwota.calk","liczba.pracownikow","kwota.na.pracownika","dziedzina","szer.geog","dl.geog","adres","miasto"
"HS1EK","A+","Wydział Nauk Ekonomicznych","Uniwersytet Warszawski",32,18,0.5625,3591970,85.5,42011.3450292398,"HS",52.2464834,21.0038047,"Dluga 44/50, 00-241 Warszawa, Poland"," Warszawa"
"HS1EK","B","Wydział Gospodarki Międzynarodowej","Uniwersytet Ekonomiczny w Poznaniu",23,10,0.434782608695652,2063867,50,41277.34,"HS",52.404632,16.9215999,"Powstanc�w Wielkopolskich 16, Poznan, Poland"," Poznan"
"HS1EK","A+","Kolegium Analiz Ekonomicznych","Szkoła Główna Handlowa w Warszawie",15,7,0.466666666666667,4345249,114.5,37949.7729257642,"HS",52.208872,21.008658,"aleja Niepodleglosci 162, Warszawa, Poland"," Warszawa"
"HS1EK","A","Wydział Informatyki i Gospodarki Elektronicznej","Uniwersytet Ekonomiczny w Poznaniu",12,5,0.416666666666667,969180,44,22026.8181818182,"HS",52.404632,16.9215999,"Powstanc�w Wielkopolskich 16, Poznan, Poland"," Poznan"
"HS1EK","A","Wydział Ekonomiczno-Socjologiczny","Uniwersytet Łódzki",52,12,0.230769230769231,4476965,354.08,12643.936398554,"HS",51.7745415,19.4661536,"Polskiej Organizacji Wojskowej 3/5, 90-255 L�dz, Poland"," L�dz"
"HS1EK","A","Wydział Towaroznawstwa","Uniwersytet Ekonomiczny w Poznaniu",15,2,0.133333333333333,852930,74,11526.0810810811,"HS",52.404632,16.9215999,"Powstanc�w Wielkopolskich 16, Poznan, Poland"," Poznan"
"HS1EK","B","Wydział Ekonomiczny","Uniwersytet Marii Curie-Skłodowskiej",13,3,0.230769230769231,1174528,104,11293.5384615385,"HS",51.2457454,22.5407482,"Plac Marii Sklodowskiej-Curie 5, 20-031 Lublin, Poland"," Lublin"
"HS1EK","A","Kolegium Ekonomiczno-Społeczne","Szkoła Główna Handlowa w Warszawie",12,4,0.333333333333333,781730,74,10563.9189189189,"HS",52.208872,21.008658,"aleja Niepodleglosci 162, Warszawa, Poland"," Warszawa"
"HS1EK","A","Wydział Ekonomii","Uniwersytet Ekonomiczny w Katowicach",13,5,0.384615384615385,1070092,109,9817.35779816514,"HS",50.2584208,19.0447436,"1 Maja 50, 40-287 Katowice, Poland"," Katowice"
"HS1EK","A","Kolegium Gospodarki Światowej","Szkoła Główna Handlowa w Warszawie",12,3,0.25,750886,85.3,8802.88393903869,"HS",52.208872,21.008658,"aleja Niepodleglosci 162, Warszawa, Poland"," Warszawa"
"HS1EK","A","Wydział Ekonomii, Zarządzania i Turystyki","Uniwersytet Ekonomiczny we Wrocławiu",8,4,0.5,763835,91,8393.79120879121,"HS",50.8983066,15.7494539,"Nowowiejska 39, 58-588 Jelenia G�ra, Poland"," Jelenia G�ra"
"HS1EK","A+","Kolegium Zarządzania i Finansów","Szkoła Główna Handlowa w Warszawie",15,4,0.266666666666667,1015000,131,7748.09160305344,"HS",52.208872,21.008658,"aleja Niepodleglosci 162, Warszawa, Poland"," Warszawa"
"HS1EK","A","Wydział Ekonomii i Stosunków Międzynarodowych","Uniwersytet Ekonomiczny w Krakowie",26,7,0.269230769230769,1235177,168,7352.24404761905,"HS",50.0685649,19.9551201,"Rakowicka 27, 31-510 Krak�w, Poland"," Krak�w"
